"X","Long","Lat"
"Llanfyllin.RD",-3.357,52.738
"Machynlleth.RD",-3.735,52.598
"Monmouth.RD",-2.792,51.798
"Narberth.RD",-4.748,51.787
"Neath.RD",-3.703,51.708
"Newcastle.Emlyn.RD",-3.985,51.91
"Pembroke.RD",-4.872,51.678
"Pontypool.RD",-2.962,51.698
"Ruthin.RD",-3.322,53.125
"Wrexham.RD",-3.052,53.01
